,jk_run,timestamp,runtime,machine_type,gpu_type,nvidia_driver_major,CUDA,success,vCPU,batch_size,procs,adv_job_params
0,39,2021-05-21 19:05:28.222671,738.72296,n1-standard-4,t4,460,cu11.0,True,4,100,2,--batch-size 100 --data-processors 2
1,40,2021-05-21 19:05:45.256262,738.8549,n1-standard-4,v100,460,cu11.0,True,4,100,2,--batch-size 100 --data-processors 2
2,42,2021-05-21 19:16:26.078058,832.0986,n1-standard-4,k80,460,cu11.0,True,4,100,2,--batch-size 100 --data-processors 2
3,43,2021-05-21 19:29:18.764686,711.9948,n1-standard-4,p4,460,cu11.0,True,4,50,2,--batch-size 50 --data-processors 2
4,45,2021-05-21 19:30:23.456883,706.9626,n1-standard-4,v100,460,cu11.0,True,4,75,2,--batch-size 75 --data-processors 2
5,44,2021-05-21 19:30:51.615223,737.4416,n1-standard-4,t4,460,cu11.0,True,4,75,2,--batch-size 75 --data-processors 2
6,46,2021-05-21 19:34:58.522419,830.42914,n1-standard-4,p100,460,cu11.0,True,4,100,2,--batch-size 100 --data-processors 2
7,47,2021-05-21 19:41:23.965054,842.7095,n1-standard-4,k80,460,cu11.0,True,4,75,2,--batch-size 75 --data-processors 2
8,48,2021-05-21 19:54:03.747613,722.8545,n1-standard-4,p4,460,cu11.0,True,4,25,2,--batch-size 25 --data-processors 2
9,50,2021-05-21 19:55:29.623006,725.38025,n1-standard-4,v100,460,cu11.0,True,4,50,2,--batch-size 50 --data-processors 2
10,49,2021-05-21 19:56:04.230507,758.7565,n1-standard-4,t4,460,cu11.0,True,4,50,2,--batch-size 50 --data-processors 2
11,51,2021-05-21 19:59:08.930035,843.30493,n1-standard-4,p100,460,cu11.0,True,4,50,2,--batch-size 50 --data-processors 2
12,52,2021-05-21 20:06:26.520131,856.024,n1-standard-4,k80,460,cu11.0,True,4,50,2,--batch-size 50 --data-processors 2
13,53,2021-05-21 20:19:21.705447,738.03375,n1-standard-4,p4,460,cu11.0,True,4,20,2,--batch-size 20 --data-processors 2
14,54,2021-05-21 20:20:49.515497,753.0162,n1-standard-4,t4,460,cu11.0,True,4,25,2,--batch-size 25 --data-processors 2
15,56,2021-05-21 20:24:27.149573,853.57513,n1-standard-4,p100,460,cu11.0,True,4,25,2,--batch-size 25 --data-processors 2
16,57,2021-05-21 20:32:36.663443,925.2249,n1-standard-4,k80,460,cu11.0,True,4,25,2,--batch-size 25 --data-processors 2
17,59,2021-05-21 20:44:25.789128,707.461,n1-standard-4,t4,460,cu11.0,True,4,20,2,--batch-size 20 --data-processors 2
18,58,2021-05-21 20:44:43.527849,758.1518,n1-standard-4,p4,460,cu11.0,True,4,15,2,--batch-size 15 --data-processors 2
19,61,2021-05-21 20:46:41.391558,733.872,n1-standard-4,p100,460,cu11.0,True,4,20,2,--batch-size 20 --data-processors 2
20,60,2021-05-21 20:46:46.571038,784.7028,n1-standard-4,v100,460,cu11.0,True,4,20,2,--batch-size 20 --data-processors 2
21,62,2021-05-21 20:57:50.934373,933.5561,n1-standard-4,k80,460,cu11.0,True,4,20,2,--batch-size 20 --data-processors 2
